"","nr","alg","argument","set","scaled","FM","AR"
"307",307,"spectral","9","parabolic",FALSE,0.827727857676669,0.655755500151366
"308",308,"spectral","9","ring",FALSE,0.67713888909472,0.274013942902678
"309",309,"spectral","9","zigzag",FALSE,0.624192805601697,0.352391930134322
"310",310,"spectral","9","by_voivodeship",FALSE,0.606061579633789,0.570312562786849
"311",311,"spectral","9","pizza1",FALSE,1,1
"312",312,"spectral","9","pizza2",FALSE,0.725526868379448,0.638296072408055
"313",313,"spectral","9","simple_agglomerations1",FALSE,0.82369476684719,0.776792332771479
"314",314,"spectral","9","simple_agglomerations2",FALSE,0.87646319400687,0.813306723680911
"315",315,"spectral","9","simple_agglomerations3",FALSE,0.569291324963345,0.433157201358762
"316",316,"spectral","9","iris",FALSE,0.635331984664178,0.433439341000916
"317",317,"spectral","9","iris5",FALSE,0.750735132514341,0.573744082876899
"318",318,"spectral","9","square",FALSE,0.673574122583928,0.261580867821456
"319",319,"spectral","9","a1",FALSE,0.615263262949051,0.556401009389981
"320",320,"spectral","9","a2",FALSE,0.54859054110627,0.474413133443595
"321",321,"spectral","9","a3",FALSE,0.606465813958131,0.547841993431504
"322",322,"spectral","9","aggregation",FALSE,0.908180267833071,0.880443413409366
"323",323,"spectral","9","compound",FALSE,0.603644563471597,0.478711660022888
"324",324,"spectral","9","d31",FALSE,0.583735333562607,0.514476972126852
"325",325,"spectral","9","flame",FALSE,0.715646514740818,0.409156492753403
"326",326,"spectral","9","jain",FALSE,0.639860084810632,0.188006515476277
"327",327,"spectral","9","pathbased",FALSE,0.795741698311648,0.690106248309175
"328",328,"spectral","9","r15",FALSE,0.605940828552275,0.520494670717204
"329",329,"spectral","9","s1",FALSE,0.525571144844055,0.397661865137578
"330",330,"spectral","9","s2",FALSE,0.770525031264862,0.742368592149355
"331",331,"spectral","9","s3",FALSE,0.70135295873322,0.678122811890721
"332",332,"spectral","9","s4",FALSE,0.653429865844986,0.628645115746175
"333",333,"spectral","9","spiral",FALSE,0.530908382411794,0.18240999575525
"334",334,"spectral","9","unbalance",FALSE,0.701861406599097,0.584018237685725
"335",335,"spectral","9","cross",FALSE,0.591831448155701,0.423745203825447
"336",336,"spectral","9","smile",FALSE,0.565130581903443,0.414828530709056
"337",337,"spectral","9","twosplashes",FALSE,0.503910460907268,-0.00244808374134722
"338",338,"spectral","9","x1",FALSE,0.677774498949541,0.477667416834358
"339",339,"spectral","9","x2",FALSE,0.587736862990877,0.339638261315681
"340",340,"spectral","9","x3",FALSE,0.787386162812908,0.705642048867379
"341",341,"spectral","9","z1",FALSE,0.383143484809701,0.0760480540527673
"342",342,"spectral","9","z2",FALSE,0.760030863395532,0.634242356376023
